CRF++: Yet Another CRF Tool Kit
Copyright (C) 2005-2013 Taku Kudo, All rights reserved.

reading training data: 100.. 200.. 300.. 400.. 500.. 600.. 700.. 800.. 900.. 1000.. 1100.. 1200.. 1300.. 1400.. 1500.. 1600.. 1700.. 1800.. 
Done!0.16 s

Number of sentences: 1805
Number of features:  51446
Number of thread(s): 8
Freq:                1
eta:                 0.00010
C:                   1.00000
shrinking size:      20
iter=0 terr=0.59865 serr=0.96177 act=51446 obj=17417.40235 diff=1.00000
iter=1 terr=0.33660 serr=0.93075 act=51446 obj=16369.33135 diff=0.06017
iter=2 terr=0.31909 serr=0.89141 act=51446 obj=14668.23773 diff=0.10392
iter=3 terr=0.28275 serr=0.86593 act=51446 obj=13920.27092 diff=0.05099
iter=4 terr=0.27814 serr=0.86704 act=51446 obj=13511.45593 diff=0.02937
iter=5 terr=0.26596 serr=0.84211 act=51446 obj=12961.84022 diff=0.04068
iter=6 terr=0.25708 serr=0.83546 act=51446 obj=12629.15973 diff=0.02567
iter=7 terr=0.24483 serr=0.81607 act=51446 obj=12304.22526 diff=0.02573
iter=8 terr=0.23571 serr=0.80609 act=51446 obj=11998.67843 diff=0.02483
iter=9 terr=0.22947 serr=0.80222 act=51446 obj=11844.75973 diff=0.01283
iter=10 terr=0.23038 serr=0.80388 act=51446 obj=11776.56822 diff=0.00576
iter=11 terr=0.22318 serr=0.79446 act=51446 obj=11639.72589 diff=0.01162
iter=12 terr=0.22190 serr=0.79169 act=51446 obj=11593.48851 diff=0.00397
iter=13 terr=0.21852 serr=0.78338 act=51446 obj=11481.65875 diff=0.00965
iter=14 terr=0.21462 serr=0.78061 act=51446 obj=11291.30931 diff=0.01658
iter=15 terr=0.20961 serr=0.77285 act=51446 obj=11251.44025 diff=0.00353
iter=16 terr=0.20459 serr=0.76288 act=51446 obj=10933.99199 diff=0.02821
iter=17 terr=0.20280 serr=0.76177 act=51446 obj=10862.81741 diff=0.00651
iter=18 terr=0.19962 serr=0.75956 act=51446 obj=10797.32151 diff=0.00603
iter=19 terr=0.19815 serr=0.75679 act=51446 obj=10748.77406 diff=0.00450
iter=20 terr=0.19273 serr=0.74958 act=51446 obj=10571.77489 diff=0.01647
iter=21 terr=0.18426 serr=0.74127 act=51446 obj=10374.32180 diff=0.01868
iter=22 terr=0.18235 serr=0.73296 act=51446 obj=10306.33753 diff=0.00655
iter=23 terr=0.17662 serr=0.72244 act=51446 obj=10066.61026 diff=0.02326
iter=24 terr=0.17224 serr=0.72244 act=51446 obj=10000.35346 diff=0.00658
iter=25 terr=0.17204 serr=0.71579 act=51446 obj=9953.37908 diff=0.00470
iter=26 terr=0.17108 serr=0.71357 act=51446 obj=9915.91792 diff=0.00376
iter=27 terr=0.16909 serr=0.70637 act=51446 obj=9844.07382 diff=0.00725
iter=28 terr=0.16376 serr=0.70748 act=51446 obj=9695.94301 diff=0.01505
iter=29 terr=0.16500 serr=0.70693 act=51446 obj=9630.41691 diff=0.00676
iter=30 terr=0.15811 serr=0.69861 act=51446 obj=9546.77979 diff=0.00868
iter=31 terr=0.15755 serr=0.69695 act=51446 obj=9496.56601 diff=0.00526
iter=32 terr=0.15743 serr=0.69640 act=51446 obj=9417.94064 diff=0.00828
iter=33 terr=0.15441 serr=0.69197 act=51446 obj=9356.19355 diff=0.00656
iter=34 terr=0.15158 serr=0.69307 act=51446 obj=9295.66084 diff=0.00647
iter=35 terr=0.14844 serr=0.68975 act=51446 obj=9206.28753 diff=0.00961
iter=36 terr=0.14681 serr=0.68864 act=51446 obj=9117.73911 diff=0.00962
iter=37 terr=0.14295 serr=0.67479 act=51446 obj=9065.30927 diff=0.00575
iter=38 terr=0.14211 serr=0.67258 act=51446 obj=9012.57880 diff=0.00582
iter=39 terr=0.13901 serr=0.66981 act=51446 obj=8970.39634 diff=0.00468
iter=40 terr=0.13467 serr=0.66593 act=51446 obj=8875.95601 diff=0.01053
iter=41 terr=0.13049 serr=0.65817 act=51446 obj=8792.53352 diff=0.00940
iter=42 terr=0.12894 serr=0.65706 act=51446 obj=8735.65600 diff=0.00647
iter=43 terr=0.12484 serr=0.64875 act=51446 obj=8693.45051 diff=0.00483
iter=44 terr=0.12607 serr=0.65208 act=51446 obj=8681.65462 diff=0.00136
iter=45 terr=0.12182 serr=0.64820 act=51446 obj=8641.68682 diff=0.00460
iter=46 terr=0.12114 serr=0.64321 act=51446 obj=8630.66294 diff=0.00128
iter=47 terr=0.11987 serr=0.64266 act=51446 obj=8603.95190 diff=0.00309
iter=48 terr=0.11808 serr=0.63657 act=51446 obj=8571.81614 diff=0.00374
iter=49 terr=0.11553 serr=0.62770 act=51446 obj=8512.03780 diff=0.00697
iter=50 terr=0.11286 serr=0.60166 act=51446 obj=8525.76420 diff=0.00161
iter=51 terr=0.11258 serr=0.60942 act=51446 obj=8478.83940 diff=0.00550
iter=52 terr=0.11414 serr=0.61219 act=51446 obj=8445.08721 diff=0.00398
